WorkerId,AnonId
AVMIXXCHPD291,anon-0
ALLX0XGVTM1BM,anon-1
AKNV05F5X5YAC,anon-2
A2QCBYREDUOIWV,anon-3
AAETU665D8NYQ,anon-4
A1Z6F664MYBMVI,anon-5
AX0KHOWMMM6Z2,anon-6
A1HK7CR71C8BCA,anon-7
AZE084MMZVEYT,anon-8
A1V8MSGK7CVD8B,anon-9
A17QOT9NFOE4HW,anon-10
AIR4UQNPIMFCJ,anon-11
A1G331HUXOSJAM,anon-12
A31LGY0AVL6DP0,anon-13
A1UFGETGYUY3W6,anon-14
A1YILFU07P6DND,anon-15
A1CC1ESUM2JWJ2,anon-16
AXH1BDK251PWC,anon-17
A1PTX4IB9R34LI,anon-18
A1QIJ8PQO27CJC,anon-19
A115UFR6VA6OM1,anon-20
A1FGN2JF4LCF9B,anon-21
A2HSCKH5NKN5LP,anon-22
A154XH0IEZG247,anon-23
A2OLVF6P86QSQJ,anon-24
A2FWAQRCFFF8AK,anon-25
A1R0689JPSQ3OF,anon-26
A2XT19KFE3W6Q6,anon-27
A1W4Q0E00VP6VD,anon-28
A3O8XSREPU77OG,anon-29
A3KX2D8LETH2KB,anon-30
A16PU53B41CJ22,anon-31
A3VBNWON5XOUVS,anon-32
A1B79AW7Z2QNHI,anon-33
A27LGC4MU1R7PQ,anon-34
A2UX7ZJEGGU5,anon-35
A1RKFIEUVLK07A,anon-36
A2VQ1WGHLLLNJ1,anon-37
A12D4VXQXMSMT5,anon-38
A1BPHW0KCTG34P,anon-39
A397S958GXXAJQ,anon-40
AR34M0TTKXKJT,anon-41
A3PZCD771ITFVZ,anon-42
A3M18OTDBTUGRJ,anon-43
AW1SWNQFPIUKF,anon-44
A3BP890CXV4UMN,anon-45
A2HHGI5CNSS5PD,anon-46
A182CHO6N044YK,anon-47
A22KRF782ELLB0,anon-48
A20KJRW7NPB05U,anon-49
