WorkerId,AnonId
A1OJQV5QT7FFAW,anon-0
A3HMBHM8HJLKRD,anon-1
A2FLHXD97VI8F4,anon-2
A1LRJ4U04532TM,anon-3
A3QJJR5Y3XE92N,anon-4
A3B0PILMF4LCBU,anon-5
A1NITMHYG5YL3H,anon-6
A1YX741QQSMKPS,anon-7
A1FYFBIFYWTMJS,anon-8
ADSMCF77QKDJI,anon-9
A12DBV9FNAOFEM,anon-10
A2IWFY2JIPI63D,anon-11
AIM00PF45AQD3,anon-12
A1LAZ3AO0NYBC1,anon-13
A28LE67Q1YR9TV,anon-14
A2CEUCPDECS6U3,anon-15
A47N8CFWDAXNH,anon-16
A166A2M31CW2C7,anon-17
A34DI1JD8SF2N9,anon-18
AEF94JKX6FG92,anon-19
A31UXXZVI3U4E2,anon-20
A1KFGU5623A7H,anon-21
A1LV6ZGB8I17VI,anon-22
A2JI88OO9BS59Y,anon-23
A116CBPK358CKH,anon-24
A38PKJM1ZRMDT8,anon-25
A1XJ9VFOJ4LP2X,anon-26
A27LGC4MU1R7PQ,anon-27
A30J98YRILWVAU,anon-28
A2636QLDLK74EZ,anon-29
A1A3TGZ7DKJWRW,anon-30
A2C6DY9MK7V6Z4,anon-31
A4YZRUYVHGF1S,anon-32
AQ7HHDLFQZEBI,anon-33
A1BPHW0KCTG34P,anon-34
ATO62RCV9I7OL,anon-35
A1DX8T0U3UTD0R,anon-36
A2V2I8HXL9EHQ1,anon-37
A1B79AW7Z2QNHI,anon-38
ARR1VG3SV6BLW,anon-39
ASTDBTVY3WP1K,anon-40
A3THSBSJ30O1MN,anon-41
A26U4IKXMXT0ZA,anon-42
A1PVHNJPHO6YYK,anon-43
A3ICWVGCEDRXS0,anon-44
A1YBUA89N9CV2N,anon-45
A1G187YBG0DVMQ,anon-46
AWCETLDX3V7N4,anon-47
A392P1JQB1KR2E,anon-48
A1APYLD4DUK33J,anon-49
