WorkerId,AnonId
AD368A1RHHRC3,anon-0
A26T6O5EFR54A9,anon-1
A2SWQM5X54P1O5,anon-2
A2R085B34P2LYS,anon-3
A10LRC0EGCZDZ3,anon-4
AUMVO3B4ZKEHQ,anon-5
A3HYKR89TCJ3FD,anon-6
A12J4IRF5Z06BT,anon-7
AW0OZC3J6Q0TT,anon-8
A1VEEZ5D9WXZIV,anon-9
A1QG4N21BF61PC,anon-10
AW0225ONUAPO5,anon-11
ANOXV36AE49EO,anon-12
A3B6ANBQU81J1J,anon-13
A3PIAHR6PGXZNT,anon-14
A3UNS38BYD3OQR,anon-15
AKNV05F5X5YAC,anon-16
A2AK649KPZ2IZN,anon-17
AFXNF8FWT090W,anon-18
A34SUZWGLXIWM8,anon-19
A1FKZ2HY4XKMG1,anon-20
A8KXFPAZ57WY5,anon-21
A311PBA5IUHH5,anon-22
A1HTIP6ZI9TJU2,anon-23
AB7DD3QQ6OVJB,anon-24
A2NPNKSW89BODS,anon-25
A154XH0IEZG247,anon-26
A22EXI1XNVCZAP,anon-27
A1QIY6QY1LL12O,anon-28
ARJ6SPCZJVARE,anon-29
A1DDBGQDMZZ1VW,anon-30
A179UW7D2N5JOC,anon-31
A1TI1BG9I7H75,anon-32
A82RQFCAZQR34,anon-33
A3MCZ0MJJCELIJ,anon-34
A35RZ2HKE9VWJ5,anon-35
A2UF2FRGVW4T89,anon-36
A1CIRAH2RTE7G8,anon-37
A2DPKKEEW2I6QK,anon-38
A3QS78H9PG9D0C,anon-39
A2C9AFWT7PMAG5,anon-40
A18FK1XR73EQ2W,anon-41
ANV4TUKMWLA8E,anon-42
A3CVX7GHF3B65Q,anon-43
ARJ4XIRNZ1PV1,anon-44
A1OV3PYENO8IVV,anon-45
A1UG8JOVZNJIDE,anon-46
A3UHH82CMKJEWG,anon-47
A2SSC9PR4KPNPQ,anon-48
A4VE2G6MHTDFQ,anon-49
