scale,domain,manip,plurality,sent1,sent2
all_some,movie,lower,plural,Some of the movies were comedies,Some but not all of the movies were comedies
all_some,movie,upper,plural,Some of the movies were comedies,All of the movies were comedies
all_some,movie,full,plural,Some but not all of the movies were comedies,All of the movies were comedies
all_some,foods,lower,plural,Some of the cookies were chocolate,Some but not all of the cookies were chocolate
all_some,foods,upper,plural,Some of the cookies were chocolate,All of the cookies were chocolate
all_some,foods,full,plural,Some but not all of the cookies were chocolate,All of the cookies were chocolate
always_sometimes,movie,lower,plural,The movies were sometimes comedies,The movies were sometimes but not always comedies
always_sometimes,movie,upper,plural,The movies were sometimes comedies,The movies were always comedies
always_sometimes,movie,full,plural,The movies were sometimes but not always comedies,The movies were always comedies
always_sometimes,foods,lower,plural,The cookies were sometimes chocolate,The cookies were sometimes but not always chocolate
always_sometimes,foods,upper,plural,The cookies were sometimes chocolate,The cookies were always chocolate
always_sometimes,foods,full,plural,The cookies were sometimes but not always chocolate,The cookies were always chocolate
